ID videa;ID článku;views;SUM(time)
374608;56650;5588;439993
374657;56643;10;7356
374682;56596;1114;617270
374728;56705;14;861
375081;56835;2324;65001
125541;18111;1;30
130108;28704;2;81
154611;33519;66;27302
154659;33513;10;5394
155943;33749;1;109
166779;35341;11;676
173485;36227;1;NULL
179656;37470;1;37
182326;37893;1;30
25870;55628;1;127
316744;39610;2;215
318211;39498;2;3316
322105;40413;1;260
328732;41360;1;282
332602;41849;17;12361
332805;41996;1;40
336591;42583;3;81
340233;55246;52;12186
340424;43207;4;1159
341996;43437;20;654
342429;43548;1;570
343678;33526;1;25
346619;44218;1;54
346847;44244;9;17588
348698;44603;2;90
349288;44625;2;3130
350359;45200;1;90
350862;45331;1;60
351488;56637;13;2874
352198;45755;1;577
354214;46282;3;98
354491;46811;1;1554
355691;46663;1;NULL
355953;46948;1;40
